choice,icca,occa,income,ich,och,id,alt,inc.room,inc.cooling,int.cooling
FALSE,0,0,20,24.5,4.09,1,ec,0,0,0
FALSE,27.28,2.95,20,7.86,4.09,1,ecc,0,20,1
FALSE,0,0,20,7.37,3.85,1,er,20,0,0
TRUE,27.28,2.95,20,8.79,3.85,1,erc,20,20,1
FALSE,0,0,20,24.08,2.26,1,gc,0,0,0
FALSE,27.28,2.95,20,9.7,2.26,1,gcc,0,20,1
FALSE,27.28,2.95,20,11.36,1.73,1,hpc,0,20,1
FALSE,0,0,50,32.71,2.69,2,ec,0,0,0
FALSE,26.49,1.63,50,8.69,2.69,2,ecc,0,50,1
FALSE,0,0,50,9.33,3.45,2,er,50,0,0
FALSE,26.49,1.63,50,7.09,3.45,2,erc,50,50,1
FALSE,0,0,50,28,2.3,2,gc,0,0,0
FALSE,26.49,1.63,50,8.77,2.3,2,gcc,0,50,1
TRUE,26.49,1.63,50,9.37,1.65,2,hpc,0,50,1
FALSE,0,0,50,31.68,5.25,3,ec,0,0,0
FALSE,22.63,2.18,50,8.86,5.25,3,ecc,0,50,1
FALSE,0,0,50,8.14,4.35,3,er,50,0,0
FALSE,22.63,2.18,50,6.94,4.35,3,erc,50,50,1
FALSE,0,0,50,25.71,2.28,3,gc,0,0,0
TRUE,22.63,2.18,50,7.43,2.28,3,gcc,0,50,1
FALSE,22.63,2.18,50,11.7,1.44,3,hpc,0,50,1
FALSE,0,0,50,26.73,4.89,4,ec,0,0,0
FALSE,25.33,2.7,50,8.93,4.89,4,ecc,0,50,1
FALSE,0,0,50,8.04,4.85,4,er,50,0,0
FALSE,25.33,2.7,50,7.22,4.85,4,erc,50,50,1
FALSE,0,0,50,29.72,2.62,4,gc,0,0,0
TRUE,25.33,2.7,50,9.18,2.62,4,gcc,0,50,1
FALSE,25.33,2.7,50,12.13,1.93,4,hpc,0,50,1
FALSE,0,0,60,28.35,3.71,5,ec,0,0,0
FALSE,25.45,2.77,60,7.02,3.71,5,ecc,0,60,1
FALSE,0,0,60,7.15,3.64,5,er,60,0,0
FALSE,25.45,2.77,60,8.44,3.64,5,erc,60,60,1
FALSE,0,0,60,23.9,2.52,5,gc,0,0,0
TRUE,25.45,2.77,60,8.05,2.52,5,gcc,0,60,1
FALSE,25.45,2.77,60,10.51,1.63,5,hpc,0,60,1
FALSE,0,0,30,21.37,3.2,6,ec,0,0,0
FALSE,19.93,2.68,30,8.03,3.2,6,ecc,0,30,1
FALSE,0,0,30,8.6,4.3,6,er,30,0,0
FALSE,19.93,2.68,30,6.22,4.3,6,erc,30,30,1
FALSE,0,0,30,27.02,1.99,6,gc,0,0,0
TRUE,19.93,2.68,30,9.32,1.99,6,gcc,0,30,1
FALSE,19.93,2.68,30,12.57,1.3,6,hpc,0,30,1
FALSE,0,0,30,28.63,3.74,7,ec,0,0,0
FALSE,27.04,2.12,30,8.78,3.74,7,ecc,0,30,1
FALSE,0,0,30,6.41,4.02,7,er,30,0,0
FALSE,27.04,2.12,30,7.36,4.02,7,erc,30,30,1
TRUE,0,0,30,22.93,2.06,7,gc,0,0,0
FALSE,27.04,2.12,30,7.11,2.06,7,gcc,0,30,1
FALSE,27.04,2.12,30,12.39,1.52,7,hpc,0,30,1
FALSE,0,0,50,27.86,4.59,8,ec,0,0,0
FALSE,18.1,2.95,50,7.48,4.59,8,ecc,0,50,1
FALSE,0,0,50,7.3,4.11,8,er,50,0,0
FALSE,18.1,2.95,50,6.72,4.11,8,erc,50,50,1
FALSE,0,0,50,26.24,2.42,8,gc,0,0,0
FALSE,18.1,2.95,50,9.38,2.42,8,gcc,0,50,1
TRUE,18.1,2.95,50,8.93,1.63,8,hpc,0,50,1
FALSE,0,0,40,22.6,4.07,9,ec,0,0,0
FALSE,22.56,2.38,40,7.39,4.07,9,ecc,0,40,1
FALSE,0,0,40,7.85,3.53,9,er,40,0,0
FALSE,22.56,2.38,40,8.79,3.53,9,erc,40,40,1
FALSE,0,0,40,23.02,2.36,9,gc,0,0,0
TRUE,22.56,2.38,40,8.08,2.36,9,gcc,0,40,1
FALSE,22.56,2.38,40,11.16,1.3,9,hpc,0,40,1
FALSE,0,0,60,27.51,4.27,10,ec,0,0,0
FALSE,25.75,2.08,60,4.88,4.27,10,ecc,0,60,1
FALSE,0,0,60,6.88,5.14,10,er,60,0,0
FALSE,25.75,2.08,60,7.46,5.14,10,erc,60,60,1
FALSE,0,0,60,19.82,2.24,10,gc,0,0,0
TRUE,25.75,2.08,60,6.24,2.24,10,gcc,0,60,1
FALSE,25.75,2.08,60,8.28,1.77,10,hpc,0,60,1
FALSE,0,0,70,27.29,3.66,11,ec,0,0,0
FALSE,23.66,1.83,70,8.7,3.66,11,ecc,0,70,1
FALSE,0,0,70,9.42,3.46,11,er,70,0,0
FALSE,23.66,1.83,70,9.24,3.46,11,erc,70,70,1
FALSE,0,0,70,23.72,1.85,11,gc,0,0,0
TRUE,23.66,1.83,70,9.63,1.85,11,gcc,0,70,1
FALSE,23.66,1.83,70,12.87,1.28,11,hpc,0,70,1
FALSE,0,0,50,27.68,4.03,12,ec,0,0,0
FALSE,21.24,2.47,50,9.97,4.03,12,ecc,0,50,1
FALSE,0,0,50,6.77,4.76,12,er,50,0,0
FALSE,21.24,2.47,50,9.16,4.76,12,erc,50,50,1
FALSE,0,0,50,23.89,2.61,12,gc,0,0,0
TRUE,21.24,2.47,50,7.41,2.61,12,gcc,0,50,1
FALSE,21.24,2.47,50,10.94,1.38,12,hpc,0,50,1
FALSE,0,0,70,22.93,3.64,13,ec,0,0,0
FALSE,29.06,1.82,70,8.17,3.64,13,ecc,0,70,1
FALSE,0,0,70,5.93,4.08,13,er,70,0,0
FALSE,29.06,1.82,70,7.21,4.08,13,erc,70,70,1
FALSE,0,0,70,21.87,2.29,13,gc,0,0,0
TRUE,29.06,1.82,70,5.84,2.29,13,gcc,0,70,1
FALSE,29.06,1.82,70,8.38,1.7,13,hpc,0,70,1
FALSE,0,0,50,25.59,5.21,14,ec,0,0,0
FALSE,18.06,2.55,50,11.19,5.21,14,ecc,0,50,1
FALSE,0,0,50,9.3,3.8,14,er,50,0,0
FALSE,18.06,2.55,50,7.87,3.8,14,erc,50,50,1
FALSE,0,0,50,25.88,2.14,14,gc,0,0,0
TRUE,18.06,2.55,50,8.02,2.14,14,gcc,0,50,1
FALSE,18.06,2.55,50,11.31,1.61,14,hpc,0,50,1
FALSE,0,0,50,30.49,4.2,15,ec,0,0,0
FALSE,20.8,2.81,50,9.54,4.2,15,ecc,0,50,1
FALSE,0,0,50,8.21,4.43,15,er,50,0,0
FALSE,20.8,2.81,50,6.97,4.43,15,erc,50,50,1
FALSE,0,0,50,26.44,1.95,15,gc,0,0,0
TRUE,20.8,2.81,50,9.28,1.95,15,gcc,0,50,1
FALSE,20.8,2.81,50,12.67,1.75,15,hpc,0,50,1
FALSE,0,0,60,25.13,3.75,16,ec,0,0,0
FALSE,24.98,1.89,60,9.2,3.75,16,ecc,0,60,1
FALSE,0,0,60,9.84,4.18,16,er,60,0,0
FALSE,24.98,1.89,60,7.09,4.18,16,erc,60,60,1
FALSE,0,0,60,22.86,2.32,16,gc,0,0,0
TRUE,24.98,1.89,60,8.33,2.32,16,gcc,0,60,1
FALSE,24.98,1.89,60,10.12,1.18,16,hpc,0,60,1
FALSE,0,0,60,25.91,4.71,17,ec,0,0,0
FALSE,25.63,2.61,60,6.57,4.71,17,ecc,0,60,1
FALSE,0,0,60,6.79,4.44,17,er,60,0,0
FALSE,25.63,2.61,60,7.88,4.44,17,erc,60,60,1
FALSE,0,0,60,17.73,2.05,17,gc,0,0,0
TRUE,25.63,2.61,60,6.12,2.05,17,gcc,0,60,1
FALSE,25.63,2.61,60,9.57,1.46,17,hpc,0,60,1
FALSE,0,0,20,16.64,4.05,18,ec,0,0,0
FALSE,22.9,2.63,20,6.22,4.05,18,ecc,0,20,1
FALSE,0,0,20,7.69,3.68,18,er,20,0,0
FALSE,22.9,2.63,20,6.56,3.68,18,erc,20,20,1
TRUE,0,0,20,17.16,2.3,18,gc,0,0,0
FALSE,22.9,2.63,20,5.63,2.3,18,gcc,0,20,1
FALSE,22.9,2.63,20,8.25,1.71,18,hpc,0,20,1
FALSE,0,0,30,25.55,3.7,19,ec,0,0,0
FALSE,25.5,2.23,30,8.33,3.7,19,ecc,0,30,1
FALSE,0,0,30,8.59,5.27,19,er,30,0,0
FALSE,25.5,2.23,30,7.3,5.27,19,erc,30,30,1
FALSE,0,0,30,21.72,2.1,19,gc,0,0,0
TRUE,25.5,2.23,30,6.92,2.1,19,gcc,0,30,1
FALSE,25.5,2.23,30,11.09,1.42,19,hpc,0,30,1
FALSE,0,0,30,28.08,3.78,20,ec,0,0,0
FALSE,20.8,2.84,30,11.37,3.78,20,ecc,0,30,1
FALSE,0,0,30,10.61,4.85,20,er,30,0,0
FALSE,20.8,2.84,30,9.09,4.85,20,erc,30,30,1
FALSE,0,0,30,26.95,2.26,20,gc,0,0,0
TRUE,20.8,2.84,30,8.29,2.26,20,gcc,0,30,1
FALSE,20.8,2.84,30,11.19,1.5,20,hpc,0,30,1
FALSE,0,0,30,27.89,2.84,21,ec,0,0,0
FALSE,25.21,2.25,30,8.33,2.84,21,ecc,0,30,1
FALSE,0,0,30,7.33,3.5,21,er,30,0,0
FALSE,25.21,2.25,30,7.34,3.5,21,erc,30,30,1
FALSE,0,0,30,32.54,2.16,21,gc,0,0,0
TRUE,25.21,2.25,30,9.81,2.16,21,gcc,0,30,1
FALSE,25.21,2.25,30,10.68,1.38,21,hpc,0,30,1
FALSE,0,0,40,26.42,3.16,22,ec,0,0,0
FALSE,25.65,2.1,40,9.08,3.16,22,ecc,0,40,1
FALSE,0,0,40,8.34,4.73,22,er,40,0,0
FALSE,25.65,2.1,40,8.52,4.73,22,erc,40,40,1
FALSE,0,0,40,22.04,2.74,22,gc,0,0,0
FALSE,25.65,2.1,40,6.67,2.74,22,gcc,0,40,1
TRUE,25.65,2.1,40,8.81,1.26,22,hpc,0,40,1
FALSE,0,0,50,25.92,4.07,23,ec,0,0,0
FALSE,25.21,2.83,50,8.06,4.07,23,ecc,0,50,1
FALSE,0,0,50,6.94,3.33,23,er,50,0,0
FALSE,25.21,2.83,50,6.34,3.33,23,erc,50,50,1
TRUE,0,0,50,14.5,2.42,23,gc,0,0,0
FALSE,25.21,2.83,50,8.95,2.42,23,gcc,0,50,1
FALSE,25.21,2.83,50,9.52,1.37,23,hpc,0,50,1
FALSE,0,0,30,29.64,4.29,24,ec,0,0,0
FALSE,24.28,2.54,30,9.18,4.29,24,ecc,0,30,1
FALSE,0,0,30,6.37,3.82,24,er,30,0,0
FALSE,24.28,2.54,30,8.06,3.82,24,erc,30,30,1
FALSE,0,0,30,25.94,2.38,24,gc,0,0,0
TRUE,24.28,2.54,30,9.82,2.38,24,gcc,0,30,1
FALSE,24.28,2.54,30,12.88,1.39,24,hpc,0,30,1
FALSE,0,0,20,29.4,2.89,25,ec,0,0,0
FALSE,20.04,2.84,20,9.59,2.89,25,ecc,0,20,1
FALSE,0,0,20,8.43,4.54,25,er,20,0,0
FALSE,20.04,2.84,20,10.7,4.54,25,erc,20,20,1
FALSE,0,0,20,22.04,2.19,25,gc,0,0,0
TRUE,20.04,2.84,20,6.6,2.19,25,gcc,0,20,1
FALSE,20.04,2.84,20,10.83,0.96,25,hpc,0,20,1
FALSE,0,0,30,20.63,3.63,26,ec,0,0,0
FALSE,30.59,2.03,30,8.38,3.63,26,ecc,0,30,1
FALSE,0,0,30,9.17,3.78,26,er,30,0,0
FALSE,30.59,2.03,30,8.09,3.78,26,erc,30,30,1
FALSE,0,0,30,25.41,2.41,26,gc,0,0,0
FALSE,30.59,2.03,30,8.94,2.41,26,gcc,0,30,1
TRUE,30.59,2.03,30,9.81,1.65,26,hpc,0,30,1
FALSE,0,0,70,26.77,4.85,27,ec,0,0,0
FALSE,27.79,2.85,70,10.16,4.85,27,ecc,0,70,1
FALSE,0,0,70,9.15,4.37,27,er,70,0,0
FALSE,27.79,2.85,70,7.67,4.37,27,erc,70,70,1
FALSE,0,0,70,26.04,2.2,27,gc,0,0,0
TRUE,27.79,2.85,70,6.21,2.2,27,gcc,0,70,1
FALSE,27.79,2.85,70,7.85,1.37,27,hpc,0,70,1
FALSE,0,0,60,25.89,3.3,28,ec,0,0,0
FALSE,25.58,2.65,60,7.85,3.3,28,ecc,0,60,1
FALSE,0,0,60,5.75,4.6,28,er,60,0,0
FALSE,25.58,2.65,60,7.57,4.6,28,erc,60,60,1
FALSE,0,0,60,23.98,1.53,28,gc,0,0,0
TRUE,25.58,2.65,60,6.63,1.53,28,gcc,0,60,1
FALSE,25.58,2.65,60,10.41,1.52,28,hpc,0,60,1
FALSE,0,0,20,18.5,4.61,29,ec,0,0,0
FALSE,22.52,2.3,20,7.01,4.61,29,ecc,0,20,1
FALSE,0,0,20,6.22,4.43,29,er,20,0,0
FALSE,22.52,2.3,20,6.29,4.43,29,erc,20,20,1
TRUE,0,0,20,23.11,1.54,29,gc,0,0,0
FALSE,22.52,2.3,20,6.06,1.54,29,gcc,0,20,1
FALSE,22.52,2.3,20,13.31,1.44,29,hpc,0,20,1
FALSE,0,0,40,25.58,5.08,30,ec,0,0,0
FALSE,29.06,2.5,40,7.55,5.08,30,ecc,0,40,1
FALSE,0,0,40,5.8,4.3,30,er,40,0,0
FALSE,29.06,2.5,40,8.2,4.3,30,erc,40,40,1
FALSE,0,0,40,26.53,2.29,30,gc,0,0,0
TRUE,29.06,2.5,40,9.73,2.29,30,gcc,0,40,1
FALSE,29.06,2.5,40,13.12,1.49,30,hpc,0,40,1
FALSE,0,0,70,18.37,4.06,31,ec,0,0,0
FALSE,22.56,2.58,70,8.81,4.06,31,ecc,0,70,1
FALSE,0,0,70,7.55,4.21,31,er,70,0,0
FALSE,22.56,2.58,70,4.5,4.21,31,erc,70,70,1
FALSE,0,0,70,21.15,1.95,31,gc,0,0,0
TRUE,22.56,2.58,70,6.56,1.95,31,gcc,0,70,1
FALSE,22.56,2.58,70,11.26,1.45,31,hpc,0,70,1
FALSE,0,0,20,25.96,4.2,32,ec,0,0,0
FALSE,25.72,2.81,20,9.09,4.2,32,ecc,0,20,1
TRUE,0,0,20,6.11,4.02,32,er,20,0,0
FALSE,25.72,2.81,20,7.38,4.02,32,erc,20,20,1
FALSE,0,0,20,26.43,2.38,32,gc,0,0,0
FALSE,25.72,2.81,20,8.41,2.38,32,gcc,0,20,1
FALSE,25.72,2.81,20,10.85,1.27,32,hpc,0,20,1
FALSE,0,0,60,20.58,4.32,33,ec,0,0,0
FALSE,26.09,2.46,60,7.97,4.32,33,ecc,0,60,1
FALSE,0,0,60,7.78,3.17,33,er,60,0,0
FALSE,26.09,2.46,60,8.56,3.17,33,erc,60,60,1
FALSE,0,0,60,20.42,1.77,33,gc,0,0,0
TRUE,26.09,2.46,60,8.22,1.77,33,gcc,0,60,1
FALSE,26.09,2.46,60,10.7,1.07,33,hpc,0,60,1
FALSE,0,0,50,24.48,3.33,34,ec,0,0,0
FALSE,26.17,2.53,50,8.08,3.33,34,ecc,0,50,1
FALSE,0,0,50,7.39,4.83,34,er,50,0,0
FALSE,26.17,2.53,50,8.17,4.83,34,erc,50,50,1
FALSE,0,0,50,24.66,2.12,34,gc,0,0,0
TRUE,26.17,2.53,50,11.16,2.12,34,gcc,0,50,1
FALSE,26.17,2.53,50,9.54,1.53,34,hpc,0,50,1
FALSE,0,0,60,25.63,3.17,35,ec,0,0,0
FALSE,23.07,2.65,60,8.62,3.17,35,ecc,0,60,1
FALSE,0,0,60,8.62,3.44,35,er,60,0,0
FALSE,23.07,2.65,60,9.8,3.44,35,erc,60,60,1
FALSE,0,0,60,22.72,2.2,35,gc,0,0,0
FALSE,23.07,2.65,60,8.83,2.2,35,gcc,0,60,1
TRUE,23.07,2.65,60,11.1,1.67,35,hpc,0,60,1
FALSE,0,0,30,25.55,4.31,36,ec,0,0,0
FALSE,31.17,1.99,30,7.04,4.31,36,ecc,0,30,1
FALSE,0,0,30,9.58,3.54,36,er,30,0,0
FALSE,31.17,1.99,30,7.37,3.54,36,erc,30,30,1
FALSE,0,0,30,28.43,2.35,36,gc,0,0,0
TRUE,31.17,1.99,30,8.37,2.35,36,gcc,0,30,1
FALSE,31.17,1.99,30,12.28,1.75,36,hpc,0,30,1
FALSE,0,0,30,27.15,4.46,37,ec,0,0,0
FALSE,25.8,2.45,30,9.65,4.46,37,ecc,0,30,1
FALSE,0,0,30,9.31,4.56,37,er,30,0,0
FALSE,25.8,2.45,30,9.28,4.56,37,erc,30,30,1
FALSE,0,0,30,26.45,3.03,37,gc,0,0,0
TRUE,25.8,2.45,30,9.93,3.03,37,gcc,0,30,1
FALSE,25.8,2.45,30,15.02,1.95,37,hpc,0,30,1
FALSE,0,0,30,21.94,3.81,38,ec,0,0,0
FALSE,28.3,2.55,30,7.59,3.81,38,ecc,0,30,1
FALSE,0,0,30,8.33,4.23,38,er,30,0,0
FALSE,28.3,2.55,30,9.33,4.23,38,erc,30,30,1
FALSE,0,0,30,26.67,2.17,38,gc,0,0,0
TRUE,28.3,2.55,30,8.52,2.17,38,gcc,0,30,1
FALSE,28.3,2.55,30,6.86,1.84,38,hpc,0,30,1
FALSE,0,0,40,29.13,4.17,39,ec,0,0,0
FALSE,24.96,2.42,40,10.14,4.17,39,ecc,0,40,1
FALSE,0,0,40,9.16,5.01,39,er,40,0,0
FALSE,24.96,2.42,40,6.9,5.01,39,erc,40,40,1
FALSE,0,0,40,25.51,1.93,39,gc,0,0,0
TRUE,24.96,2.42,40,7.13,1.93,39,gcc,0,40,1
FALSE,24.96,2.42,40,12.73,1.51,39,hpc,0,40,1
FALSE,0,0,40,21.83,2.33,40,ec,0,0,0
FALSE,29.19,2.07,40,7.71,2.33,40,ecc,0,40,1
FALSE,0,0,40,7.1,3.33,40,er,40,0,0
FALSE,29.19,2.07,40,6.82,3.33,40,erc,40,40,1
FALSE,0,0,40,13.53,1.91,40,gc,0,0,0
TRUE,29.19,2.07,40,4.99,1.91,40,gcc,0,40,1
FALSE,29.19,2.07,40,9.88,1.1,40,hpc,0,40,1
FALSE,0,0,70,20.1,3.72,41,ec,0,0,0
FALSE,24.54,2.51,70,6.98,3.72,41,ecc,0,70,1
FALSE,0,0,70,7.22,4.19,41,er,70,0,0
FALSE,24.54,2.51,70,5.97,4.19,41,erc,70,70,1
FALSE,0,0,70,20.49,2,41,gc,0,0,0
TRUE,24.54,2.51,70,5.94,2,41,gcc,0,70,1
FALSE,24.54,2.51,70,11.62,1.29,41,hpc,0,70,1
FALSE,0,0,70,17.33,3.93,42,ec,0,0,0
FALSE,24.42,2.04,70,7.68,3.93,42,ecc,0,70,1
FALSE,0,0,70,7.16,3.7,42,er,70,0,0
FALSE,24.42,2.04,70,7.05,3.7,42,erc,70,70,1
FALSE,0,0,70,16.25,1.95,42,gc,0,0,0
TRUE,24.42,2.04,70,7.17,1.95,42,gcc,0,70,1
FALSE,24.42,2.04,70,9.38,1.53,42,hpc,0,70,1
FALSE,0,0,30,20.53,3.95,43,ec,0,0,0
FALSE,24.41,2.14,30,7.22,3.95,43,ecc,0,30,1
FALSE,0,0,30,5.42,4.61,43,er,30,0,0
FALSE,24.41,2.14,30,6.96,4.61,43,erc,30,30,1
FALSE,0,0,30,24.14,2.47,43,gc,0,0,0
TRUE,24.41,2.14,30,6.75,2.47,43,gcc,0,30,1
FALSE,24.41,2.14,30,9.67,1.51,43,hpc,0,30,1
FALSE,0,0,40,24.37,4.27,44,ec,0,0,0
FALSE,27.19,2.08,40,9.77,4.27,44,ecc,0,40,1
FALSE,0,0,40,8.49,3.81,44,er,40,0,0
FALSE,27.19,2.08,40,7.49,3.81,44,erc,40,40,1
FALSE,0,0,40,22.5,2.31,44,gc,0,0,0
TRUE,27.19,2.08,40,8.41,2.31,44,gcc,0,40,1
FALSE,27.19,2.08,40,11.7,1.44,44,hpc,0,40,1
FALSE,0,0,20,25.75,4.15,45,ec,0,0,0
FALSE,22.54,3.37,20,9.82,4.15,45,ecc,0,20,1
TRUE,0,0,20,9.5,4.41,45,er,20,0,0
FALSE,22.54,3.37,20,9.11,4.41,45,erc,20,20,1
FALSE,0,0,20,28.22,2.72,45,gc,0,0,0
FALSE,22.54,3.37,20,9.27,2.72,45,gcc,0,20,1
FALSE,22.54,3.37,20,10.37,1.46,45,hpc,0,20,1
FALSE,0,0,50,26.28,5.04,46,ec,0,0,0
FALSE,22.23,2.92,50,8,5.04,46,ecc,0,50,1
FALSE,0,0,50,7.47,4.79,46,er,50,0,0
FALSE,22.23,2.92,50,10.23,4.79,46,erc,50,50,1
FALSE,0,0,50,24.43,2.26,46,gc,0,0,0
TRUE,22.23,2.92,50,7.64,2.26,46,gcc,0,50,1
FALSE,22.23,2.92,50,11.37,1.85,46,hpc,0,50,1
FALSE,0,0,60,28.08,4.73,47,ec,0,0,0
FALSE,24.75,2.59,60,7.56,4.73,47,ecc,0,60,1
FALSE,0,0,60,8.17,4.57,47,er,60,0,0
FALSE,24.75,2.59,60,8.82,4.57,47,erc,60,60,1
FALSE,0,0,60,23.91,2.42,47,gc,0,0,0
TRUE,24.75,2.59,60,8.94,2.42,47,gcc,0,60,1
FALSE,24.75,2.59,60,10.51,1.4,47,hpc,0,60,1
FALSE,0,0,20,22.81,3.55,48,ec,0,0,0
FALSE,24.42,2.48,20,5.54,3.55,48,ecc,0,20,1
FALSE,0,0,20,6.49,4.29,48,er,20,0,0
FALSE,24.42,2.48,20,9,4.29,48,erc,20,20,1
FALSE,0,0,20,25.95,1.98,48,gc,0,0,0
TRUE,24.42,2.48,20,6.34,1.98,48,gcc,0,20,1
FALSE,24.42,2.48,20,8.37,1.39,48,hpc,0,20,1
FALSE,0,0,60,21.4,4.05,49,ec,0,0,0
FALSE,21.28,3.3,60,6.13,4.05,49,ecc,0,60,1
FALSE,0,0,60,6.26,3.96,49,er,60,0,0
FALSE,21.28,3.3,60,8.92,3.96,49,erc,60,60,1
FALSE,0,0,60,23.21,1.72,49,gc,0,0,0
TRUE,21.28,3.3,60,6.22,1.72,49,gcc,0,60,1
FALSE,21.28,3.3,60,11.48,1.45,49,hpc,0,60,1
FALSE,0,0,30,30.09,3.93,50,ec,0,0,0
FALSE,30.87,2.48,30,9.16,3.93,50,ecc,0,30,1
FALSE,0,0,30,9.05,3.87,50,er,30,0,0
FALSE,30.87,2.48,30,7.52,3.87,50,erc,30,30,1
FALSE,0,0,30,24.69,2.77,50,gc,0,0,0
FALSE,30.87,2.48,30,8.81,2.77,50,gcc,0,30,1
TRUE,30.87,2.48,30,10.17,1.53,50,hpc,0,30,1
FALSE,0,0,30,21.84,3.29,51,ec,0,0,0
FALSE,25.77,2.65,30,7.57,3.29,51,ecc,0,30,1
FALSE,0,0,30,8.75,4.66,51,er,30,0,0
FALSE,25.77,2.65,30,4.92,4.66,51,erc,30,30,1
FALSE,0,0,30,23.96,2.22,51,gc,0,0,0
